seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016092,3,0.5,517.5,494.42722047976736,0.9554149188014828,safe,0.2,"(0, 1)",0.34
1755016093,3,0.5,3050.0,2833.32059385701,0.9289575717563968,safe,0.2,"(0, 1)",0.34
1755016094,3,0.5,2530.0,2346.3110227162206,0.9273956611526564,safe,0.2,"(0, 1)",0.34
1755016095,3,0.5,0.0,4170.965829850888,,,0.2,0,0.34
1755016096,3,0.5,3025.0,2697.1676320347806,0.8916256634825721,safe,0.2,"(0, 1)",0.34
1755016097,3,0.5,2555.0,2448.4806631003144,0.9583094571821192,safe,0.3,"(0, 1)",0.34
1755016098,3,0.5,0.0,3872.780450187001,,,0.3,0,0.34
1755016099,3,0.5,637.5,605.7112379578903,0.9501352752280632,safe,0.3,"(0, 1)",0.34
1755016100,3,0.5,2775.0,2662.279015216016,0.9593798253030688,safe,0.3,"(0, 1)",0.34
1755016101,3,0.5,0.0,91.27577504807503,,,0.3,0,0.34
1755016102,3,0.5,2650.0,2496.3318927765104,0.942012035010004,safe,0.3,"(0, 1)",0.34
1755016103,3,0.5,2550.0,2469.0166936597525,0.9682418406508834,safe,0.3,"(0, 1)",0.34
1755016104,3,0.5,627.5,581.8110166836013,0.9271888712089263,safe,0.3,"(0, 1)",0.34
1755016105,3,0.5,507.5,494.83328586488926,0.97504095736924,safe,0.3,"(0, 1)",0.34
1755016106,3,0.5,0.0,4353.293136125809,,,0.3,0,0.34
1755016107,3,0.5,517.5,488.3444894369807,0.9436608491535858,safe,0.6,"(0, 1)",0.34
1755016108,3,0.5,637.5,584.8880391586572,0.9174714339743644,safe,0.6,"(0, 1)",0.34
1755016109,3,0.5,0.0,3245.253222027901,,,0.6,0,0.34
1755016110,3,0.5,0.0,336.1299967084319,,,0.6,0,0.34
1755016111,3,0.5,0.0,210.7939075462782,,,0.6,0,0.34
1755016112,3,0.5,0.0,700.7813449839232,,,0.6,0,0.34
1755016113,3,0.5,2800.0,2641.30952603637,0.9433248307272748,safe,0.6,"(0, 1)",0.34
1755016114,3,0.5,0.0,169.3168645172991,,,0.6,0,0.34
1755016115,3,0.5,0.0,341.6304529601712,,,0.6,0,0.34
1755016116,3,0.5,152.5,143.42974046541622,0.9405228882978112,safe,0.6,"(0, 1)",0.34
1755016117,3,0.5,265.0,251.41831991336164,0.9487483770315532,safe,0.3,"(0, 1)",0.34
1755016118,3,0.5,325.0,295.93393513633055,0.9105659542656324,safe,0.3,"(0, 1)",0.34
1755016119,3,0.5,2515.0,2063.781936266863,0.8205892390723113,safe,0.3,"(0, 1)",0.34
1755016120,3,0.5,2517.5,2476.0089261498288,0.9835189378946688,safe,0.3,"(0, 1)",0.34
1755016121,3,0.5,0.0,436.0961990994401,,,0.3,0,0.34
1755016122,3,0.5,2527.5,2338.383797735567,0.925176576749977,safe,0.3,"(0, 1)",0.34
