$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[2,3,6,10]",13.000,"[0,0,0,0]",17.000,"[0,0,5,0]",4.000,0
"[2,3,6,11]",15.000,"[0,0,0,0]",18.000,"[0,0,5,0]",3.000,0
"[2,3,6,12]",11.000,"[0,0,0,0]",19.000,"[0,0,5,4]",8.000,1
"[2,3,7,2]",9.000,"[0,0,0,0]",10.000,"[0,0,0,1]",1.000,0
"[2,3,7,3]",9.000,"[0,0,0,0]",11.000,"[0,0,0,2]",2.000,0
"[2,3,7,4]",11.000,"[0,0,0,0]",12.000,"[0,0,0,1]",1.000,0
"[2,3,7,5]",13.000,"[0,0,0,0]",13.000,"[0,0,0,0]",0.000,0
"[2,3,7,6]",11.000,"[0,0,0,0]",14.000,"[0,0,0,5]",3.000,0
"[2,3,7,7]",9.000,"[0,0,0,0]",15.000,"[0,0,0,6]",6.000,0
"[2,3,7,8]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[2,3,7,9]",15.000,"[0,0,0,0]",17.000,"[0,0,0,2]",2.000,0
"[2,3,7,10]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[2,3,7,11]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[2,3,7,12]",17.000,"[0,0,0,0]",20.000,"[0,0,0,5]",3.000,0
"[2,3,8,2]",9.000,"[0,0,0,0]",11.000,"[0,0,1,0]",2.000,0
"[2,3,8,3]",10.000,"[0,0,0,1]",12.000,"[0,0,1,0]",2.000,0
"[2,3,8,4]",9.000,"[0,0,0,0]",13.000,"[0,0,1,0]",4.000,0
"[2,3,8,5]",13.000,"[0,0,0,0]",14.000,"[0,0,1,0]",1.000,0
"[2,3,8,6]",11.000,"[0,0,0,0]",15.000,"[0,0,1,0]",4.000,0
"[2,3,8,7]",15.000,"[0,0,0,0]",16.000,"[0,0,1,0]",1.000,0
"[2,3,8,8]",9.000,"[0,0,0,0]",17.000,"[0,0,1,0]",8.000,0
"[2,3,8,9]",16.000,"[0,0,0,1]",18.000,"[0,0,1,0]",2.000,0
"[2,3,8,10]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[2,3,8,11]",19.000,"[0,0,0,0]",20.000,"[0,0,1,0]",1.000,0
"[2,3,8,12]",15.000,"[0,0,0,4]",21.000,"[0,0,1,0]",6.000,0
"[2,3,9,2]",9.000,"[0,0,0,0]",12.000,"[0,0,2,1]",3.000,0
"[2,3,9,3]",9.000,"[0,0,0,0]",13.000,"[0,0,2,1]",4.000,0
"[2,3,9,4]",11.000,"[0,0,0,0]",14.000,"[0,0,2,1]",3.000,0
"[2,3,9,5]",13.000,"[0,0,0,0]",15.000,"[0,0,2,0]",2.000,0
"[2,3,9,6]",11.000,"[0,0,0,0]",16.000,"[0,0,2,1]",5.000,0
"[2,3,9,7]",15.000,"[0,0,0,0]",17.000,"[0,0,2,0]",2.000,0
"[2,3,9,8]",15.000,"[0,0,0,0]",18.000,"[0,0,2,1]",3.000,0
"[2,3,9,9]",9.000,"[0,0,0,0]",19.000,"[0,0,2,1]",10.000,0
