$T_i$ period,$L_Z^-$ minimum offset-free reaction time,$phase$ offsets min,$L_Z^+$ maximum offset-free reaction time,$phase$ offsets max,diff,is max-harmonic
"[6,12,9,12]",17.000,"[0,0,0,6]",35.000,"[0,5,1,0]",18.000,0
"[6,12,10,2]",19.000,"[0,0,0,0]",26.000,"[0,5,0,1]",7.000,0
"[6,12,10,3]",19.000,"[0,0,0,2]",27.000,"[0,5,0,1]",8.000,0
"[6,12,10,4]",19.000,"[0,0,0,0]",28.000,"[0,5,0,1]",9.000,0
"[6,12,10,5]",19.000,"[0,0,0,0]",29.000,"[0,5,0,4]",10.000,0
"[6,12,10,6]",19.000,"[0,0,0,2]",30.000,"[0,5,0,1]",11.000,0
"[6,12,10,7]",25.000,"[0,0,0,0]",31.000,"[0,5,0,0]",6.000,0
"[6,12,10,8]",23.000,"[0,0,0,0]",32.000,"[0,5,0,1]",9.000,0
"[6,12,10,9]",25.000,"[0,0,0,2]",33.000,"[0,5,0,1]",8.000,0
"[6,12,10,10]",19.000,"[0,0,0,0]",34.000,"[0,5,0,9]",15.000,0
"[6,12,10,11]",29.000,"[0,0,0,0]",35.000,"[0,5,0,0]",6.000,0
"[6,12,10,12]",19.000,"[0,0,0,8]",36.000,"[0,5,0,1]",17.000,0
"[6,12,11,2]",21.000,"[0,0,0,0]",27.000,"[0,5,0,0]",6.000,0
"[6,12,11,3]",21.000,"[0,0,0,1]",28.000,"[0,5,0,2]",7.000,0
"[6,12,11,4]",21.000,"[0,0,0,2]",29.000,"[0,5,0,2]",8.000,0
"[6,12,11,5]",25.000,"[0,0,0,0]",30.000,"[0,5,0,0]",5.000,0
"[6,12,11,6]",21.000,"[0,0,0,4]",31.000,"[0,5,0,2]",10.000,0
"[6,12,11,7]",27.000,"[0,0,0,0]",32.000,"[0,5,0,0]",5.000,0
"[6,12,11,8]",25.000,"[0,0,0,2]",33.000,"[0,5,0,2]",8.000,0
"[6,12,11,9]",27.000,"[0,0,0,1]",34.000,"[0,5,0,2]",7.000,0
"[6,12,11,10]",29.000,"[0,0,0,0]",35.000,"[0,5,0,0]",6.000,0
"[6,12,11,11]",21.000,"[0,0,0,0]",36.000,"[0,5,0,10]",15.000,0
"[6,12,11,12]",21.000,"[0,0,0,10]",37.000,"[0,5,0,2]",16.000,0
"[6,12,12,2]",11.000,"[0,0,0,0]",28.000,"[0,5,4,1]",17.000,1
"[6,12,12,3]",11.000,"[0,0,0,0]",29.000,"[0,5,4,0]",18.000,1
"[6,12,12,4]",11.000,"[0,0,0,0]",30.000,"[0,5,4,3]",19.000,1
"[6,12,12,5]",15.000,"[0,0,0,0]",31.000,"[0,5,4,0]",16.000,0
"[6,12,12,6]",11.000,"[0,0,0,0]",32.000,"[0,5,4,3]",21.000,1
"[6,12,12,7]",17.000,"[0,0,0,0]",33.000,"[0,5,4,0]",16.000,0
"[6,12,12,8]",15.000,"[0,0,0,0]",34.000,"[0,5,4,3]",19.000,0
"[6,12,12,9]",17.000,"[0,0,0,0]",35.000,"[0,5,4,0]",18.000,0
"[6,12,12,10]",19.000,"[0,0,0,0]",36.000,"[0,5,4,1]",17.000,0
"[6,12,12,11]",21.000,"[0,0,0,0]",37.000,"[0,5,4,0]",16.000,0
"[6,12,12,12]",11.000,"[0,0,0,0]",38.000,"[0,5,4,3]",27.000,1
"[7,2,2,2]",7.000,"[0,0,0,0]",9.000,"[0,0,1,0]",2.000,0
"[7,2,2,3]",9.000,"[0,0,0,0]",10.000,"[0,0,1,0]",1.000,0
"[7,2,2,4]",9.000,"[0,0,0,0]",11.000,"[0,0,1,0]",2.000,0
"[7,2,2,5]",11.000,"[0,0,0,0]",12.000,"[0,0,1,0]",1.000,0
"[7,2,2,6]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[7,2,2,7]",7.000,"[0,0,0,1]",14.000,"[0,0,1,1]",7.000,0
"[7,2,2,8]",13.000,"[0,0,0,0]",15.000,"[0,0,1,0]",2.000,0
"[7,2,2,9]",15.000,"[0,0,0,0]",16.000,"[0,0,1,0]",1.000,0
"[7,2,2,10]",15.000,"[0,0,0,0]",17.000,"[0,0,1,0]",2.000,0
"[7,2,2,11]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[7,2,2,12]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[7,2,3,2]",9.000,"[0,0,0,0]",10.000,"[0,0,0,1]",1.000,0
"[7,2,3,3]",9.000,"[0,0,0,0]",11.000,"[0,0,0,2]",2.000,0
"[7,2,3,4]",11.000,"[0,0,0,0]",12.000,"[0,0,0,1]",1.000,0
"[7,2,3,5]",13.000,"[0,0,0,0]",13.000,"[0,0,0,0]",0.000,0
"[7,2,3,6]",11.000,"[0,0,0,0]",14.000,"[0,0,0,5]",3.000,0
"[7,2,3,7]",9.000,"[0,0,0,3]",15.000,"[0,0,0,2]",6.000,0
"[7,2,3,8]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[7,2,3,9]",15.000,"[0,0,0,0]",17.000,"[0,0,0,2]",2.000,0
"[7,2,3,10]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[7,2,3,11]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[7,2,3,12]",17.000,"[0,0,0,0]",20.000,"[0,0,0,5]",3.000,0
"[7,2,4,2]",9.000,"[0,0,0,0]",11.000,"[0,0,1,0]",2.000,0
"[7,2,4,3]",11.000,"[0,0,0,0]",12.000,"[0,0,1,0]",1.000,0
"[7,2,4,4]",9.000,"[0,0,0,0]",13.000,"[0,0,1,0]",4.000,0
"[7,2,4,5]",13.000,"[0,0,0,0]",14.000,"[0,0,1,0]",1.000,0
"[7,2,4,6]",13.000,"[0,0,0,0]",15.000,"[0,0,1,0]",2.000,0
"[7,2,4,7]",9.000,"[0,0,0,3]",16.000,"[0,0,1,3]",7.000,0
"[7,2,4,8]",13.000,"[0,0,0,0]",17.000,"[0,0,1,0]",4.000,0
"[7,2,4,9]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[7,2,4,10]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[7,2,4,11]",19.000,"[0,0,0,0]",20.000,"[0,0,1,0]",1.000,0
"[7,2,4,12]",17.000,"[0,0,0,0]",21.000,"[0,0,1,0]",4.000,0
"[7,2,5,2]",11.000,"[0,0,0,0]",12.000,"[0,0,0,1]",1.000,0
"[7,2,5,3]",13.000,"[0,0,0,0]",13.000,"[0,0,0,0]",0.000,0
"[7,2,5,4]",13.000,"[0,0,0,0]",14.000,"[0,0,0,1]",1.000,0
"[7,2,5,5]",11.000,"[0,0,0,0]",15.000,"[0,0,0,4]",4.000,0
"[7,2,5,6]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[7,2,5,7]",11.000,"[0,0,0,5]",17.000,"[0,0,0,4]",6.000,0
"[7,2,5,8]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[7,2,5,9]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[7,2,5,10]",15.000,"[0,0,0,0]",20.000,"[0,0,0,9]",5.000,0
"[7,2,5,11]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[7,2,5,12]",21.000,"[0,0,0,0]",22.000,"[0,0,0,1]",1.000,0
"[7,2,6,2]",11.000,"[0,0,0,0]",13.000,"[0,0,1,0]",2.000,0
"[7,2,6,3]",11.000,"[0,0,0,0]",14.000,"[0,0,1,0]",3.000,0
"[7,2,6,4]",13.000,"[0,0,0,0]",15.000,"[0,0,1,0]",2.000,0
"[7,2,6,5]",15.000,"[0,0,0,0]",16.000,"[0,0,1,0]",1.000,0
"[7,2,6,6]",11.000,"[0,0,0,0]",17.000,"[0,0,1,0]",6.000,0
"[7,2,6,7]",11.000,"[0,0,0,5]",18.000,"[0,0,1,5]",7.000,0
"[7,2,6,8]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[7,2,6,9]",17.000,"[0,0,0,0]",20.000,"[0,0,1,0]",3.000,0
"[7,2,6,10]",19.000,"[0,0,0,0]",21.000,"[0,0,1,0]",2.000,0
"[7,2,6,11]",21.000,"[0,0,0,0]",22.000,"[0,0,1,0]",1.000,0
"[7,2,6,12]",17.000,"[0,0,0,0]",23.000,"[0,0,1,0]",6.000,0
"[7,2,7,2]",8.000,"[0,0,1,0]",14.000,"[0,0,0,1]",6.000,0
"[7,2,7,3]",9.000,"[0,0,1,0]",15.000,"[0,0,0,0]",6.000,0
"[7,2,7,4]",10.000,"[0,0,1,0]",16.000,"[0,0,0,1]",6.000,0
"[7,2,7,5]",11.000,"[0,0,1,0]",17.000,"[0,0,0,0]",6.000,0
"[7,2,7,6]",12.000,"[0,0,1,0]",18.000,"[0,0,0,1]",6.000,0
"[7,2,7,7]",7.000,"[0,0,1,1]",19.000,"[0,0,0,6]",12.000,0
"[7,2,7,8]",14.000,"[0,0,1,0]",20.000,"[0,0,0,1]",6.000,0
"[7,2,7,9]",15.000,"[0,0,1,0]",21.000,"[0,0,0,0]",6.000,0
"[7,2,7,10]",16.000,"[0,0,1,0]",22.000,"[0,0,0,1]",6.000,0
"[7,2,7,11]",17.000,"[0,0,1,0]",23.000,"[0,0,0,0]",6.000,0
"[7,2,7,12]",18.000,"[0,0,1,0]",24.000,"[0,0,0,1]",6.000,0
"[7,2,8,2]",13.000,"[0,0,0,0]",15.000,"[0,0,1,0]",2.000,0
"[7,2,8,3]",15.000,"[0,0,0,0]",16.000,"[0,0,1,0]",1.000,0
"[7,2,8,4]",13.000,"[0,0,0,0]",17.000,"[0,0,1,0]",4.000,0
"[7,2,8,5]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[7,2,8,6]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[7,2,8,7]",13.000,"[0,0,0,0]",20.000,"[0,0,1,0]",7.000,0
"[7,2,8,8]",13.000,"[0,0,0,0]",21.000,"[0,0,1,0]",8.000,0
"[7,2,8,9]",21.000,"[0,0,0,0]",22.000,"[0,0,1,0]",1.000,0
"[7,2,8,10]",21.000,"[0,0,0,0]",23.000,"[0,0,1,0]",2.000,0
"[7,2,8,11]",23.000,"[0,0,0,0]",24.000,"[0,0,1,0]",1.000,0
"[7,2,8,12]",21.000,"[0,0,0,0]",25.000,"[0,0,1,0]",4.000,0
"[7,2,9,2]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[7,2,9,3]",15.000,"[0,0,0,0]",17.000,"[0,0,0,2]",2.000,0
"[7,2,9,4]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[7,2,9,5]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[7,2,9,6]",17.000,"[0,0,0,0]",20.000,"[0,0,0,5]",3.000,0
"[7,2,9,7]",15.000,"[0,0,0,2]",21.000,"[0,0,0,1]",6.000,0
"[7,2,9,8]",21.000,"[0,0,0,0]",22.000,"[0,0,0,1]",1.000,0
"[7,2,9,9]",15.000,"[0,0,0,0]",23.000,"[0,0,0,8]",8.000,0
"[7,2,9,10]",23.000,"[0,0,0,0]",24.000,"[0,0,0,1]",1.000,0
"[7,2,9,11]",25.000,"[0,0,0,0]",25.000,"[0,0,0,0]",0.000,0
"[7,2,9,12]",23.000,"[0,0,0,0]",26.000,"[0,0,0,5]",3.000,0
"[7,2,10,2]",15.000,"[0,0,0,0]",17.000,"[0,0,1,0]",2.000,0
"[7,2,10,3]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[7,2,10,4]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[7,2,10,5]",15.000,"[0,0,0,0]",20.000,"[0,0,1,0]",5.000,0
"[7,2,10,6]",19.000,"[0,0,0,0]",21.000,"[0,0,1,0]",2.000,0
"[7,2,10,7]",15.000,"[0,0,0,2]",22.000,"[0,0,1,2]",7.000,0
"[7,2,10,8]",21.000,"[0,0,0,0]",23.000,"[0,0,1,0]",2.000,0
"[7,2,10,9]",23.000,"[0,0,0,0]",24.000,"[0,0,1,0]",1.000,0
"[7,2,10,10]",15.000,"[0,0,0,0]",25.000,"[0,0,1,0]",10.000,0
"[7,2,10,11]",25.000,"[0,0,0,0]",26.000,"[0,0,1,0]",1.000,0
"[7,2,10,12]",25.000,"[0,0,0,0]",27.000,"[0,0,1,0]",2.000,0
"[7,2,11,2]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[7,2,11,3]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[7,2,11,4]",19.000,"[0,0,0,0]",20.000,"[0,0,0,1]",1.000,0
"[7,2,11,5]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[7,2,11,6]",21.000,"[0,0,0,0]",22.000,"[0,0,0,1]",1.000,0
"[7,2,11,7]",17.000,"[0,0,0,4]",23.000,"[0,0,0,3]",6.000,0
"[7,2,11,8]",23.000,"[0,0,0,0]",24.000,"[0,0,0,1]",1.000,0
"[7,2,11,9]",25.000,"[0,0,0,0]",25.000,"[0,0,0,0]",0.000,0
"[7,2,11,10]",25.000,"[0,0,0,0]",26.000,"[0,0,0,1]",1.000,0
"[7,2,11,11]",17.000,"[0,0,0,0]",27.000,"[0,0,0,10]",10.000,0
"[7,2,11,12]",27.000,"[0,0,0,0]",28.000,"[0,0,0,1]",1.000,0
"[7,2,12,2]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[7,2,12,3]",17.000,"[0,0,0,0]",20.000,"[0,0,1,0]",3.000,0
"[7,2,12,4]",17.000,"[0,0,0,0]",21.000,"[0,0,1,0]",4.000,0
"[7,2,12,5]",21.000,"[0,0,0,0]",22.000,"[0,0,1,0]",1.000,0
"[7,2,12,6]",17.000,"[0,0,0,0]",23.000,"[0,0,1,0]",6.000,0
"[7,2,12,7]",17.000,"[0,0,0,4]",24.000,"[0,0,1,4]",7.000,0
"[7,2,12,8]",21.000,"[0,0,0,0]",25.000,"[0,0,1,0]",4.000,0
"[7,2,12,9]",23.000,"[0,0,0,0]",26.000,"[0,0,1,0]",3.000,0
"[7,2,12,10]",25.000,"[0,0,0,0]",27.000,"[0,0,1,0]",2.000,0
"[7,2,12,11]",27.000,"[0,0,0,0]",28.000,"[0,0,1,0]",1.000,0
"[7,2,12,12]",17.000,"[0,0,0,0]",29.000,"[0,0,1,0]",12.000,0
"[7,3,2,2]",9.000,"[0,0,0,0]",10.000,"[0,0,0,1]",1.000,0
"[7,3,2,3]",9.000,"[0,0,0,1]",11.000,"[0,0,0,0]",2.000,0
"[7,3,2,4]",11.000,"[0,0,0,0]",12.000,"[0,0,0,1]",1.000,0
"[7,3,2,5]",13.000,"[0,0,0,0]",13.000,"[0,0,0,0]",0.000,0
"[7,3,2,6]",11.000,"[0,0,0,0]",14.000,"[0,0,0,3]",3.000,0
"[7,3,2,7]",9.000,"[0,0,0,3]",15.000,"[0,0,0,2]",6.000,0
"[7,3,2,8]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[7,3,2,9]",15.000,"[0,0,0,1]",17.000,"[0,0,0,0]",2.000,0
"[7,3,2,10]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[7,3,2,11]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[7,3,2,12]",17.000,"[0,0,0,0]",20.000,"[0,0,0,3]",3.000,0
"[7,3,3,2]",9.000,"[0,0,0,0]",11.000,"[0,0,2,0]",2.000,0
"[7,3,3,3]",8.000,"[0,0,0,0]",12.000,"[0,0,2,1]",4.000,0
"[7,3,3,4]",11.000,"[0,0,0,0]",13.000,"[0,0,2,0]",2.000,0
"[7,3,3,5]",12.000,"[0,0,0,0]",14.000,"[0,0,2,0]",2.000,0
"[7,3,3,6]",11.000,"[0,0,0,0]",15.000,"[0,0,2,1]",4.000,0
"[7,3,3,7]",8.000,"[0,0,0,2]",16.000,"[0,0,2,3]",8.000,0
"[7,3,3,8]",15.000,"[0,0,0,0]",17.000,"[0,0,2,0]",2.000,0
"[7,3,3,9]",14.000,"[0,0,0,0]",18.000,"[0,0,2,1]",4.000,0
"[7,3,3,10]",17.000,"[0,0,0,0]",19.000,"[0,0,2,0]",2.000,0
"[7,3,3,11]",18.000,"[0,0,0,0]",20.000,"[0,0,2,0]",2.000,0
"[7,3,3,12]",17.000,"[0,0,0,0]",21.000,"[0,0,2,1]",4.000,0
"[7,3,4,2]",11.000,"[0,0,0,0]",12.000,"[0,0,0,1]",1.000,0
"[7,3,4,3]",11.000,"[0,0,0,0]",13.000,"[0,0,0,2]",2.000,0
"[7,3,4,4]",11.000,"[0,0,0,0]",14.000,"[0,0,0,3]",3.000,0
"[7,3,4,5]",15.000,"[0,0,0,0]",15.000,"[0,0,0,0]",0.000,0
"[7,3,4,6]",13.000,"[0,0,0,2]",16.000,"[0,0,0,5]",3.000,0
"[7,3,4,7]",11.000,"[0,0,0,5]",17.000,"[0,0,0,4]",6.000,0
"[7,3,4,8]",15.000,"[0,0,0,0]",18.000,"[0,0,0,3]",3.000,0
"[7,3,4,9]",17.000,"[0,0,0,0]",19.000,"[0,0,0,2]",2.000,0
"[7,3,4,10]",19.000,"[0,0,0,0]",20.000,"[0,0,0,1]",1.000,0
"[7,3,4,11]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[7,3,4,12]",17.000,"[0,0,0,0]",22.000,"[0,0,0,11]",5.000,0
"[7,3,5,2]",13.000,"[0,0,0,0]",13.000,"[0,0,0,0]",0.000,0
"[7,3,5,3]",12.000,"[0,0,0,1]",14.000,"[0,0,0,0]",2.000,0
"[7,3,5,4]",15.000,"[0,0,0,0]",15.000,"[0,0,0,0]",0.000,0
"[7,3,5,5]",12.000,"[0,0,0,0]",16.000,"[0,0,0,4]",4.000,0
"[7,3,5,6]",15.000,"[0,0,0,1]",17.000,"[0,0,0,0]",2.000,0
"[7,3,5,7]",12.000,"[0,0,0,6]",18.000,"[0,0,0,5]",6.000,0
"[7,3,5,8]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[7,3,5,9]",18.000,"[0,0,0,1]",20.000,"[0,0,0,0]",2.000,0
"[7,3,5,10]",17.000,"[0,0,0,0]",21.000,"[0,0,0,4]",4.000,0
"[7,3,5,11]",22.000,"[0,0,0,0]",22.000,"[0,0,0,0]",0.000,0
"[7,3,5,12]",21.000,"[0,0,0,1]",23.000,"[0,0,0,0]",2.000,0
"[7,3,6,2]",11.000,"[0,0,0,0]",14.000,"[0,0,2,1]",3.000,0
"[7,3,6,3]",11.000,"[0,0,0,0]",15.000,"[0,0,2,1]",4.000,0
"[7,3,6,4]",13.000,"[0,0,0,0]",16.000,"[0,0,2,1]",3.000,0
"[7,3,6,5]",15.000,"[0,0,0,0]",17.000,"[0,0,2,0]",2.000,0
"[7,3,6,6]",11.000,"[0,0,0,0]",18.000,"[0,0,2,1]",7.000,0
"[7,3,6,7]",11.000,"[0,0,0,5]",19.000,"[0,0,2,6]",8.000,0
"[7,3,6,8]",17.000,"[0,0,0,0]",20.000,"[0,0,2,1]",3.000,0
"[7,3,6,9]",17.000,"[0,0,0,0]",21.000,"[0,0,2,1]",4.000,0
"[7,3,6,10]",19.000,"[0,0,0,0]",22.000,"[0,0,2,1]",3.000,0
"[7,3,6,11]",21.000,"[0,0,0,0]",23.000,"[0,0,2,0]",2.000,0
"[7,3,6,12]",17.000,"[0,0,0,0]",24.000,"[0,0,2,1]",7.000,0
"[7,3,7,2]",9.000,"[0,0,2,0]",15.000,"[0,0,1,0]",6.000,0
"[7,3,7,3]",10.000,"[0,0,2,0]",16.000,"[0,0,1,2]",6.000,0
"[7,3,7,4]",11.000,"[0,0,2,0]",17.000,"[0,0,1,0]",6.000,0
"[7,3,7,5]",12.000,"[0,0,2,0]",18.000,"[0,0,1,0]",6.000,0
"[7,3,7,6]",13.000,"[0,0,2,0]",19.000,"[0,0,1,2]",6.000,0
"[7,3,7,7]",8.000,"[0,0,2,2]",20.000,"[0,0,1,0]",12.000,0
"[7,3,7,8]",15.000,"[0,0,2,0]",21.000,"[0,0,1,0]",6.000,0
"[7,3,7,9]",16.000,"[0,0,2,0]",22.000,"[0,0,1,2]",6.000,0
"[7,3,7,10]",17.000,"[0,0,2,0]",23.000,"[0,0,1,0]",6.000,0
"[7,3,7,11]",18.000,"[0,0,2,0]",24.000,"[0,0,1,0]",6.000,0
"[7,3,7,12]",19.000,"[0,0,2,0]",25.000,"[0,0,1,2]",6.000,0
"[7,3,8,2]",15.000,"[0,0,0,0]",16.000,"[0,0,0,1]",1.000,0
"[7,3,8,3]",15.000,"[0,0,0,1]",17.000,"[0,0,0,0]",2.000,0
"[7,3,8,4]",15.000,"[0,0,0,0]",18.000,"[0,0,0,3]",3.000,0
"[7,3,8,5]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[7,3,8,6]",17.000,"[0,0,0,0]",20.000,"[0,0,0,3]",3.000,0
"[7,3,8,7]",15.000,"[0,0,0,2]",21.000,"[0,0,0,1]",6.000,0
"[7,3,8,8]",15.000,"[0,0,0,0]",22.000,"[0,0,0,7]",7.000,0
"[7,3,8,9]",21.000,"[0,0,0,1]",23.000,"[0,0,0,0]",2.000,0
"[7,3,8,10]",23.000,"[0,0,0,0]",24.000,"[0,0,0,1]",1.000,0
"[7,3,8,11]",25.000,"[0,0,0,0]",25.000,"[0,0,0,0]",0.000,0
"[7,3,8,12]",21.000,"[0,0,0,4]",26.000,"[0,0,0,3]",5.000,0
"[7,3,9,2]",15.000,"[0,0,0,0]",17.000,"[0,0,2,0]",2.000,0
"[7,3,9,3]",14.000,"[0,0,0,0]",18.000,"[0,0,2,1]",4.000,0
"[7,3,9,4]",17.000,"[0,0,0,0]",19.000,"[0,0,2,0]",2.000,0
"[7,3,9,5]",18.000,"[0,0,0,0]",20.000,"[0,0,2,0]",2.000,0
"[7,3,9,6]",17.000,"[0,0,0,0]",21.000,"[0,0,2,1]",4.000,0
"[7,3,9,7]",14.000,"[0,0,0,1]",22.000,"[0,0,2,2]",8.000,0
"[7,3,9,8]",21.000,"[0,0,0,0]",23.000,"[0,0,2,0]",2.000,0
"[7,3,9,9]",14.000,"[0,0,0,0]",24.000,"[0,0,2,1]",10.000,0
"[7,3,9,10]",23.000,"[0,0,0,0]",25.000,"[0,0,2,0]",2.000,0
"[7,3,9,11]",24.000,"[0,0,0,0]",26.000,"[0,0,2,0]",2.000,0
"[7,3,9,12]",23.000,"[0,0,0,0]",27.000,"[0,0,2,1]",4.000,0
"[7,3,10,2]",17.000,"[0,0,0,0]",18.000,"[0,0,0,1]",1.000,0
"[7,3,10,3]",17.000,"[0,0,0,0]",19.000,"[0,0,0,2]",2.000,0
"[7,3,10,4]",19.000,"[0,0,0,0]",20.000,"[0,0,0,1]",1.000,0
"[7,3,10,5]",17.000,"[0,0,0,0]",21.000,"[0,0,0,4]",4.000,0
"[7,3,10,6]",19.000,"[0,0,0,2]",22.000,"[0,0,0,5]",3.000,0
"[7,3,10,7]",17.000,"[0,0,0,4]",23.000,"[0,0,0,3]",6.000,0
"[7,3,10,8]",23.000,"[0,0,0,0]",24.000,"[0,0,0,1]",1.000,0
"[7,3,10,9]",23.000,"[0,0,0,0]",25.000,"[0,0,0,2]",2.000,0
"[7,3,10,10]",17.000,"[0,0,0,0]",26.000,"[0,0,0,9]",9.000,0
"[7,3,10,11]",27.000,"[0,0,0,0]",27.000,"[0,0,0,0]",0.000,0
"[7,3,10,12]",25.000,"[0,0,0,2]",28.000,"[0,0,0,5]",3.000,0
"[7,3,11,2]",19.000,"[0,0,0,0]",19.000,"[0,0,0,0]",0.000,0
"[7,3,11,3]",18.000,"[0,0,0,1]",20.000,"[0,0,0,0]",2.000,0
"[7,3,11,4]",21.000,"[0,0,0,0]",21.000,"[0,0,0,0]",0.000,0
"[7,3,11,5]",22.000,"[0,0,0,0]",22.000,"[0,0,0,0]",0.000,0
"[7,3,11,6]",21.000,"[0,0,0,1]",23.000,"[0,0,0,0]",2.000,0
"[7,3,11,7]",18.000,"[0,0,0,5]",24.000,"[0,0,0,4]",6.000,0
"[7,3,11,8]",25.000,"[0,0,0,0]",25.000,"[0,0,0,0]",0.000,0
"[7,3,11,9]",24.000,"[0,0,0,1]",26.000,"[0,0,0,0]",2.000,0
"[7,3,11,10]",27.000,"[0,0,0,0]",27.000,"[0,0,0,0]",0.000,0
"[7,3,11,11]",18.000,"[0,0,0,0]",28.000,"[0,0,0,10]",10.000,0
"[7,3,11,12]",27.000,"[0,0,0,1]",29.000,"[0,0,0,0]",2.000,0
"[7,3,12,2]",17.000,"[0,0,0,0]",20.000,"[0,0,2,1]",3.000,0
"[7,3,12,3]",17.000,"[0,0,0,0]",21.000,"[0,0,2,1]",4.000,0
"[7,3,12,4]",17.000,"[0,0,0,0]",22.000,"[0,0,2,1]",5.000,0
"[7,3,12,5]",21.000,"[0,0,0,0]",23.000,"[0,0,2,0]",2.000,0
"[7,3,12,6]",17.000,"[0,0,0,0]",24.000,"[0,0,2,1]",7.000,0
"[7,3,12,7]",17.000,"[0,0,0,4]",25.000,"[0,0,2,5]",8.000,0
"[7,3,12,8]",21.000,"[0,0,0,0]",26.000,"[0,0,2,1]",5.000,0
"[7,3,12,9]",23.000,"[0,0,0,0]",27.000,"[0,0,2,1]",4.000,0
"[7,3,12,10]",25.000,"[0,0,0,0]",28.000,"[0,0,2,1]",3.000,0
"[7,3,12,11]",27.000,"[0,0,0,0]",29.000,"[0,0,2,0]",2.000,0
"[7,3,12,12]",17.000,"[0,0,0,0]",30.000,"[0,0,2,1]",13.000,0
"[7,4,2,2]",9.000,"[0,0,0,0]",11.000,"[0,0,1,0]",2.000,0
"[7,4,2,3]",11.000,"[0,0,0,0]",12.000,"[0,0,1,0]",1.000,0
"[7,4,2,4]",9.000,"[0,0,0,0]",13.000,"[0,0,1,0]",4.000,0
"[7,4,2,5]",13.000,"[0,0,0,0]",14.000,"[0,0,1,0]",1.000,0
"[7,4,2,6]",13.000,"[0,0,0,0]",15.000,"[0,0,1,0]",2.000,0
"[7,4,2,7]",9.000,"[0,0,0,3]",16.000,"[0,0,1,3]",7.000,0
"[7,4,2,8]",13.000,"[0,0,0,0]",17.000,"[0,0,1,0]",4.000,0
"[7,4,2,9]",17.000,"[0,0,0,0]",18.000,"[0,0,1,0]",1.000,0
"[7,4,2,10]",17.000,"[0,0,0,0]",19.000,"[0,0,1,0]",2.000,0
"[7,4,2,11]",19.000,"[0,0,0,0]",20.000,"[0,0,1,0]",1.000,0
"[7,4,2,12]",17.000,"[0,0,0,0]",21.000,"[0,0,1,0]",4.000,0
"[7,4,3,2]",11.000,"[0,0,0,0]",12.000,"[0,0,0,1]",1.000,0
"[7,4,3,3]",11.000,"[0,0,0,0]",13.000,"[0,0,0,2]",2.000,0
"[7,4,3,4]",11.000,"[0,0,0,2]",14.000,"[0,0,0,1]",3.000,0
"[7,4,3,5]",15.000,"[0,0,0,0]",15.000,"[0,0,0,0]",0.000,0
"[7,4,3,6]",13.000,"[0,0,0,0]",16.000,"[0,0,0,5]",3.000,0
"[7,4,3,7]",11.000,"[0,0,0,5]",17.000,"[0,0,0,4]",6.000,0
"[7,4,3,8]",15.000,"[0,0,0,2]",18.000,"[0,0,0,1]",3.000,0
"[7,4,3,9]",17.000,"[0,0,0,0]",19.000,"[0,0,0,2]",2.000,0
"[7,4,3,10]",19.000,"[0,0,0,0]",20.000,"[0,0,0,1]",1.000,0
