seeds,num_tasks,per_jitter,best_latency,run_time_order,"(latency, count)"
1755016132,3,0,58,3.540189936757088e-05,"[(58, 2)]"
1755016133,3,0,645,3.7766993045806885e-05,"[(645, 2)]"
1755016134,3,0,1031,3.576907329261303e-05,"[(1031, 2)]"
1755016135,3,0,1057,8.276384323835373e-05,"[(1057, 2)]"
1755016136,3,0,204,3.1681964173913e-05,"[(204, 2)]"
1755016037,5,0,899,0.00014310190454125404,"[(899, 24)]"
1755016038,5,0,3209,0.00014546094462275505,"[(3209, 24)]"
1755016039,5,0,301,0.00014240900054574013,"[(301, 24)]"
1755016040,5,0,241,0.00016148993745446205,"[(241, 24)]"
1755016041,5,0,212,0.0001599488314241171,"[(212, 24)]"
1755016042,5,0,123,0.0001910771243274212,"[(123, 12), (133, 12)]"
1755016043,5,0,100,0.005662240087985992,"[(100, 24)]"
1755016044,5,0,1145,0.00015138299204409122,"[(1145, 24)]"
1755016045,5,0,1148,0.00015396298840641975,"[(1148, 24)]"
1755016046,5,0,37,0.0001439980696886778,"[(37, 24)]"
1755016047,5,0,220,0.00015152501873672009,"[(220, 12), (270, 12)]"
1755016048,5,0,259,0.00013963202945888042,"[(259, 24)]"
1755016049,5,0,800,0.00014091399498283863,"[(800, 24)]"
1755016050,5,0,2539,0.0001646720338612795,"[(2539, 24)]"
1755016051,5,0,1407,0.00015465286560356617,"[(1407, 24)]"
1755016052,5,0,130,0.00015502795577049255,"[(130, 24)]"
1755016053,5,0,1467,0.00015417602844536304,"[(1467, 24)]"
1755016054,5,0,34,0.005684087052941322,"[(34, 6), (35, 18)]"
1755016055,5,0,1052,0.00015116389840841293,"[(1052, 24)]"
1755016056,5,0,1204,0.0001577890943735838,"[(1204, 24)]"
1755016057,5,0,753,0.00014277896843850613,"[(753, 24)]"
1755016058,5,0,131,0.00014211819507181644,"[(131, 12), (132, 12)]"
1755016059,5,0,160,0.00015547918155789375,"[(160, 24)]"
1755016060,5,0,2401,0.00015482516027987003,"[(2401, 24)]"
1755016061,5,0,156,0.0001357649452984333,"[(156, 24)]"
1755016062,5,0,248,0.005571348126977682,"[(248, 24)]"
1755016063,5,0,49,0.00015473086386919022,"[(49, 24)]"
1755016064,5,0,1428,0.00016662990674376488,"[(1428, 24)]"
1755016065,5,0,342,0.00015573506243526936,"[(342, 24)]"
1755016066,5,0,1461,0.0001711440272629261,"[(1461, 24)]"
1755016067,5,0,592,0.0001605579163879156,"[(592, 24)]"
1755016068,5,0,280,0.00014550704509019852,"[(280, 24)]"
1755016069,5,0,291,0.00014945096336305141,"[(291, 24)]"
1755016070,5,0,165,0.005500638158991933,"[(165, 12), (170, 12)]"
1755016071,5,0,1178,0.00015183398500084877,"[(1178, 24)]"
1755016072,5,0,280,0.00015373295173048973,"[(280, 6), (290, 18)]"
1755016073,5,0,1361,0.00015338999219238758,"[(1361, 24)]"
1755016074,5,0,2733,0.00015365798026323318,"[(2733, 24)]"
1755016075,5,0,18,0.00013900687918066978,"[(18, 24)]"
1755016076,5,0,292,0.00015697418712079525,"[(292, 8), (302, 16)]"
1755016077,5,0,1184,0.00015343003906309605,"[(1184, 24)]"
1755016078,5,0,1291,0.00676755397580564,"[(1291, 24)]"
1755016079,5,0,1352,0.0001549969892948866,"[(1352, 24)]"
1755016080,5,0,205,0.000142544973641634,"[(205, 24)]"
1755016081,5,0,1282,0.00015693088062107563,"[(1282, 24)]"
1755016082,5,0,253,0.00014131818898022175,"[(253, 24)]"
1755016083,5,0,3099,0.00014632893726229668,"[(3099, 24)]"
1755016084,5,0,2903,0.00016147596761584282,"[(2903, 8), (2904, 16)]"
1755016085,5,0,1184,0.00016365386545658112,"[(1184, 8), (1194, 16)]"
1755016086,5,0,379,0.0053502649534493685,"[(379, 24)]"
1755016087,5,0,489,0.00015011709183454514,"[(489, 24)]"
1755016088,5,0,122,0.00016277399845421314,"[(122, 24)]"
1755016089,5,0,185,0.00014675105921924114,"[(185, 12), (186, 12)]"
1755016090,5,0,408,0.00015157205052673817,"[(408, 24)]"
1755016091,5,0,136,0.00014129001647233963,"[(136, 24)]"
1755016092,5,0,1208,0.00015747593715786934,"[(1208, 12), (1209, 12)]"
1755016093,5,0,277,0.00015899701975286007,"[(277, 24)]"
1755016094,5,0,1186,0.00536020309664309,"[(1186, 24)]"
1755016095,5,0,1051,0.0002003770787268877,"[(1051, 24)]"
1755016096,5,0,320,0.00014398293569684029,"[(320, 24)]"
1755016097,5,0,1147,0.00016121519729495049,"[(1147, 24)]"
1755016098,5,0,320,0.00014166603796184063,"[(320, 24)]"
1755016099,5,0,654,0.0001413158606737852,"[(654, 24)]"
1755016100,5,0,1366,0.0001552810426801443,"[(1366, 24)]"
1755016101,5,0,101,0.0001491799484938383,"[(101, 24)]"
1755016102,5,0,419,0.0053106138948351145,"[(419, 24)]"
1755016103,5,0,362,0.00014252308756113052,"[(362, 24)]"
1755016104,5,0,2578,0.00016090506687760353,"[(2578, 24)]"
1755016105,5,0,1096,0.00015616603195667267,"[(1096, 24)]"
1755016106,5,0,241,0.00014198105782270432,"[(241, 24)]"
1755016107,5,0,571,0.00015015597455203533,"[(571, 24)]"
1755016108,5,0,438,0.0001336350105702877,"[(438, 24)]"
1755016109,5,0,49,0.00014054588973522186,"[(49, 24)]"
1755016110,5,0,58,0.00013624993152916431,"[(58, 24)]"
1755016111,5,0,65,0.00014274311251938343,"[(65, 24)]"
1755016112,5,0,113,0.0001438818871974945,"[(113, 24)]"
1755016113,5,0,1302,0.005974655970931053,"[(1302, 24)]"
1755016114,5,0,2762,0.00015807501040399075,"[(2762, 24)]"
1755016115,5,0,45,0.00015833205543458462,"[(45, 24)]"
1755016116,5,0,1215,0.0001491259317845106,"[(1215, 24)]"
1755016117,5,0,1172,0.00015530595555901527,"[(1172, 24)]"
1755016118,5,0,1366,0.00015849201008677483,"[(1366, 24)]"
1755016119,5,0,109,0.00013435306027531624,"[(109, 24)]"
1755016120,5,0,1282,0.00016559287905693054,"[(1282, 24)]"
1755016121,5,0,426,0.006877519888803363,"[(426, 24)]"
1755016122,5,0,378,0.00014707515947520733,"[(378, 24)]"
1755016123,5,0,1279,0.00015163002535700798,"[(1279, 24)]"
1755016124,5,0,1106,0.00016577797941863537,"[(1106, 16), (1116, 8)]"
1755016125,5,0,1296,0.00016615795902907848,"[(1296, 24)]"
1755016126,5,0,245,0.00013824598863720894,"[(245, 24)]"
1755016127,5,0,2185,0.0001510540023446083,"[(2185, 24)]"
1755016128,5,0,207,0.00013354606926441193,"[(207, 24)]"
1755016129,5,0,4205,0.005552470916882157,"[(4205, 24)]"
1755016130,5,0,1237,0.00016224803403019905,"[(1237, 24)]"
1755016131,5,0,1192,0.00016892701387405396,"[(1192, 24)]"
1755016132,5,0,1370,0.00016270484775304794,"[(1370, 24)]"
1755016133,5,0,108,0.00014167698100209236,"[(108, 24)]"
1755016134,5,0,224,0.00014142203144729137,"[(224, 24)]"
1755016135,5,0,21,0.0002933540381491184,"[(21, 24)]"
1755016136,5,0,3160,0.0001486560795456171,"[(3160, 24)]"
1755016037,8,0,640,0.030740445014089346,"[(640, 5040)]"
1755016038,8,0,1231,0.040124749997630715,"[(1231, 5040)]"
1755016039,8,0,4550,0.03795174486003816,"[(4550, 5040)]"
1755016040,8,0,1454,0.039831820875406265,"[(1454, 5040)]"
1755016041,8,0,1072,0.031566440127789974,"[(1072, 5040)]"
1755016042,8,0,1542,0.04539766092784703,"[(1542, 5040)]"
1755016043,8,0,2691,0.0337440469302237,"[(2691, 5040)]"
1755016044,8,0,574,0.04263787600211799,"[(574, 5040)]"
