seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016058,5,0.02,526.12,520.6717418110785,0.9896444571791198,safe,0.3,"(0, 1)",0.08
1755016059,5,0.02,408.04,358.0113937195056,0.8773928872647426,safe,0.3,"(0, 1)",0.08
1755016060,5,0.02,430.25999999999993,425.0544777720224,0.9879014497560136,safe,0.3,"(0, 1)",0.08
1755016061,5,0.02,0.0,418.765191868551,,,0.3,0,0.08
1755016062,5,0.02,0.0,3215.822890301002,,,0.3,0,0.08
1755016063,5,0.02,531.26,491.9260442434679,0.9259610063687608,safe,0.3,"(3, 4)",0.08
1755016064,5,0.02,575.6999999999999,506.1675444424327,0.8792210256078388,safe,0.3,"(3, 4)",0.08
1755016065,5,0.02,0.0,2359.549822708985,,,0.3,0,0.08
1755016066,5,0.02,251.46,244.36457386951952,0.9717830822775771,safe,0.3,"(1, 2)",0.08
1755016067,5,0.02,2244.22,2195.111987332474,0.9781180041762726,safe,0.1,"(0, 1)",0.08
1755016068,5,0.02,593.24,569.120201088268,0.959342257919675,safe,0.1,"(0, 1)",0.08
1755016069,5,0.02,2191.7,2134.994669663768,0.9741272389760316,safe,0.1,"(2, 3)",0.08
1755016070,5,0.02,2991.4,2741.550686067076,0.916477464086072,safe,0.1,"(3, 4)",0.08
1755016071,5,0.02,1092.04,1004.0191721488007,0.9193977987516948,safe,0.1,"(0, 1)",0.08
1755016072,5,0.02,452.42,449.3686235571004,0.9932554342361088,safe,0.1,"(3, 4)",0.08
1755016073,5,0.02,747.4000000000001,716.9878146722349,0.9593093586730465,safe,0.1,"(1, 2)",0.08
1755016074,5,0.02,785.4000000000001,652.3095802174867,0.8305444107683811,safe,0.1,"(3, 4)",0.08
1755016075,5,0.02,3110.1000000000004,2999.7595790199703,0.964521905732925,safe,0.1,"(3, 4)",0.08
1755016076,5,0.02,0.0,939.66093411149,,,0.1,0,0.08
1755016077,5,0.02,2102.82,2080.935745112759,0.9895929014907406,safe,0.1,"(3, 4)",0.08
1755016078,5,0.02,0.0,684.0972436042721,,,0.1,0,0.08
1755016079,5,0.02,2488.64,2372.039141048549,0.9531467552753908,safe,0.1,"(0, 1)",0.08
1755016080,5,0.02,173.71999999999997,164.07957734151205,0.944505971341884,safe,0.1,"(3, 4)",0.08
1755016081,5,0.02,2104.46,1971.279737531476,0.9367152321885308,safe,0.1,"(3, 4)",0.08
1755016082,5,0.02,464.52,452.0806014744289,0.9732209624438752,safe,0.1,"(3, 4)",0.08
1755016083,5,0.02,2480.1,2402.827806433771,0.9688431137590304,safe,0.1,"(0, 1)",0.08
1755016084,5,0.02,2425.44,2386.9318327591345,0.9841232241404176,safe,0.1,"(3, 4)",0.08
1755016085,5,0.02,572.4000000000001,541.3688623740433,0.9457876701153796,safe,0.1,"(3, 4)",0.08
1755016086,5,0.02,2478.54,2431.3313278640853,0.9809530319720824,safe,0.1,"(3, 4)",0.08
1755016087,5,0.02,526.14,509.2443368876833,0.9678875145164468,safe,0.2,"(0, 1)",0.08
1755016088,5,0.02,2863.04,2748.7406732840063,0.9600776354099162,safe,0.2,"(2, 3)",0.08
1755016089,5,0.02,83.74000000000001,72.07196638052483,0.8606635584012995,safe,0.2,"(3, 4)",0.08
1755016090,5,0.02,86.86,81.14458361599168,0.9341996732211798,safe,0.2,"(3, 4)",0.08
1755016091,5,0.02,0.0,213.360045706168,,,0.2,0,0.08
1755016092,5,0.02,376.0799999999999,370.02484047224334,0.9838992780053272,safe,0.2,"(1, 2)",0.08
1755016093,5,0.02,2074.54,2047.94333584275,0.9871794883891128,safe,0.2,"(0, 1)",0.08
1755016094,5,0.02,200.0,199.94763698380848,0.9997381849190424,safe,0.2,"(0, 1)",0.08
1755016095,5,0.02,2470.46,2305.9769549692137,0.933420073577072,safe,0.2,"(0, 1)",0.08
1755016096,5,0.02,0.0,4126.956180042398,,,0.2,0,0.08
1755016097,5,0.02,2830.02,2690.5222688853974,0.9507078638615264,safe,0.0,"(0, 1)",0.08
1755016098,5,0.02,82.82000000000001,76.30027293334842,0.9212783498351657,safe,0.0,"(0, 1)",0.08
1755016099,5,0.02,2537.12,2418.9847249357263,0.9534372536323572,safe,0.0,"(0, 1)",0.08
1755016100,5,0.02,4173.099999999999,4169.044330808203,0.9990281399458923,safe,0.0,"(3, 4)",0.08
1755016101,5,0.02,286.52,275.99956602866223,0.9632820257875968,safe,0.0,"(2, 3)",0.08
1755016102,5,0.02,537.3199999999999,529.110860426572,0.9847220658575376,safe,0.0,"(3, 4)",0.08
1755016103,5,0.02,2434.1,2312.8562413675536,0.9501894915441246,safe,0.0,"(0, 1)",0.08
1755016104,5,0.02,3564.6,3538.875533307093,0.9927833510932764,safe,0.0,"(0, 1)",0.08
1755016105,5,0.02,448.44000000000005,441.0222286169883,0.9834587204910094,safe,0.0,"(0, 1)",0.08
1755016106,5,0.02,358.4,349.0709229439535,0.9739702091070132,safe,0.0,"(0, 1)",0.08
1755016107,5,0.02,2748.44,2633.0130103341653,0.9580027253038688,safe,0.1,"(1, 2)",0.08
1755016108,5,0.02,440.36,433.6060816003424,0.984662734127401,safe,0.1,"(0, 1)",0.08
1755016109,5,0.02,701.0999999999999,679.8919872401202,0.9697503740409646,safe,0.1,"(3, 4)",0.08
1755016110,5,0.02,812.12,810.0651692449937,0.9974697941744984,safe,0.1,"(0, 1)",0.08
1755016111,5,0.02,0.0,505.33644861829,,,0.1,0,0.08
1755016112,5,0.02,494.9,481.1748411698427,0.9722668037378112,safe,0.1,"(3, 4)",0.08
1755016113,5,0.02,630.24,549.9525083511835,0.8726080673254372,safe,0.1,"(1, 2)",0.08
1755016114,5,0.02,2076.56,2064.058212027084,0.9939795681449533,safe,0.1,"(3, 4)",0.08
1755016115,5,0.02,2236.14,2058.755139280216,0.9206736337081828,safe,0.1,"(0, 1)",0.08
1755016116,5,0.02,2531.06,2364.463111472076,0.9341790046352422,safe,0.1,"(0, 1)",0.08
1755016117,5,0.02,852.44,731.8914635511119,0.8585841391196,safe,0.0,"(0, 1)",0.08
1755016118,5,0.02,2441.1400000000003,2367.3515415912684,0.969772950994727,safe,0.0,"(0, 1)",0.08
1755016119,5,0.02,2547.2200000000003,2410.5812435757043,0.9463576933188748,safe,0.0,"(0, 1)",0.08
1755016120,5,0.02,2486.62,2312.9298570656674,0.9301501061946206,safe,0.0,"(2, 3)",0.08
1755016121,5,0.02,119.18,114.45198336504612,0.9603287746689556,safe,0.0,"(3, 4)",0.08
1755016122,5,0.02,426.22,376.1531414609344,0.8825328268521759,safe,0.0,"(3, 4)",0.08
1755016123,5,0.02,808.1,718.0499945685551,0.8885657648416719,safe,0.0,"(1, 2)",0.08
1755016124,5,0.02,809.0,773.739070771222,0.9564141789508308,safe,0.0,"(0, 1)",0.08
1755016125,5,0.02,3827.0,3795.6510144221866,0.99180846993002,safe,0.0,"(0, 1)",0.08
1755016126,5,0.02,460.44,422.8869138828241,0.9184408693485016,safe,0.0,"(0, 1)",0.08
1755016127,5,0.02,460.56,441.05074740688383,0.95764014983256,safe,0.0,"(3, 4)",0.08
1755016128,5,0.02,135.34,125.15659911247168,0.9247569019689056,safe,0.0,"(0, 1)",0.08
1755016129,5,0.02,3919.4,3905.5181376499168,0.9964581664667848,safe,0.0,"(0, 1)",0.08
1755016130,5,0.02,430.2600000000001,422.9949214294618,0.9831146781700872,safe,0.0,"(1, 2)",0.08
1755016131,5,0.02,2646.2,2555.643752215256,0.9657787590564796,safe,0.0,"(1, 2)",0.08
1755016132,5,0.02,676.4,655.9721866171767,0.9697992114387592,safe,0.0,"(0, 1)",0.08
1755016133,5,0.02,2731.04,2544.521532127052,0.9317042343308966,safe,0.0,"(0, 1)",0.08
1755016134,5,0.02,2891.2000000000003,2742.007752327081,0.9483978114025596,safe,0.0,"(0, 1)",0.08
1755016135,5,0.02,477.1,448.053778713254,0.9391192175922324,safe,0.0,"(0, 1)",0.08
1755016136,5,0.02,2080.54,2071.941776511536,0.9958673116169532,safe,0.0,"(3, 4)",0.08
1755016037,5,0.05,243.95,237.07350396284164,0.9718118629343788,safe,0.0,"(2, 3)",0.09
1755016038,5,0.05,2671.15,2100.063152731325,0.7862018803628869,safe,0.0,"(3, 4)",0.09
1755016039,5,0.05,2402.6000000000004,2354.95031573921,0.9801674501536708,safe,0.0,"(0, 1)",0.09
1755016040,5,0.05,2107.4,2080.388717542592,0.987182650442532,safe,0.0,"(0, 1)",0.09
1755016041,5,0.05,2462.05,2342.437947419661,0.9514176996485292,safe,0.0,"(0, 1)",0.09
1755016042,5,0.05,2320.6000000000004,2274.5592741440923,0.9801599905817856,safe,0.0,"(0, 1)",0.09
1755016043,5,0.05,284.5,284.3110680549762,0.9993359158347144,safe,0.0,"(0, 1)",0.09
1755016044,5,0.05,2276.3500000000004,2175.933763194156,0.9558871716538124,safe,0.0,"(0, 1)",0.09
1755016045,5,0.05,434.4,429.1122301031792,0.987827417364593,safe,0.0,"(3, 4)",0.09
1755016046,5,0.05,418.2,409.1063942503352,0.97825536645226,safe,0.0,"(0, 1)",0.09
