seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016118,5,0.2,2658.4,2494.2724881477043,0.9382607915090672,safe,0.4,"(0, 1)",0.23
1755016119,5,0.2,2774.2,2531.623812734233,0.912559949799666,safe,0.4,"(0, 1)",0.23
1755016120,5,0.2,2708.2,2522.6837146085304,0.9314983068490252,safe,0.4,"(0, 1)",0.23
1755016121,5,0.2,129.8,120.4863493881908,0.9282461432064004,safe,0.4,"(0, 1)",0.23
1755016122,5,0.2,0.0,386.4915880947701,,,0.4,0,0.23
1755016123,5,0.2,0.0,753.2457353387363,,,0.4,0,0.23
1755016124,5,0.2,0.0,805.3923782311413,,,0.4,0,0.23
1755016125,5,0.2,4032.0,3938.091490714938,0.976709199086046,safe,0.4,"(1, 2)",0.23
1755016126,5,0.2,0.0,533.8673516990721,,,0.4,0,0.23
1755016127,5,0.2,501.6,477.5700667180222,0.9520934344458176,safe,0.0,"(0, 1)",0.23
1755016128,5,0.2,147.39999999999998,136.75408855781643,0.9277753633501794,safe,0.0,"(0, 1)",0.23
1755016129,5,0.2,4121.0,4010.388512129517,0.9731590662774852,safe,0.0,"(0, 1)",0.23
1755016130,5,0.2,468.6,442.03087837880656,0.943301063548456,safe,0.0,"(1, 2)",0.23
1755016131,5,0.2,2882.0,2664.890119213535,0.9246669393523717,safe,0.0,"(1, 2)",0.23
1755016132,5,0.2,734.0,661.7067232088975,0.9015077972873264,safe,0.0,"(0, 1)",0.23
1755016133,5,0.2,2974.4,2769.2207736105483,0.9310182805307116,safe,0.0,"(0, 1)",0.23
1755016134,5,0.2,3127.0,2909.4913783881893,0.9304417583588708,safe,0.0,"(0, 1)",0.23
1755016135,5,0.2,505.0,460.955775611033,0.9127837140812536,safe,0.0,"(0, 1)",0.23
1755016136,5,0.2,2265.4,2239.728213626251,0.9886678792382146,safe,0.0,"(3, 4)",0.23
