seeds,num_tasks,per_jitter,best_latency,run_time_zero
1755016120,5,0,1282,1.4291959814727306e-05
1755016121,5,0,426,1.2881995644420385e-05
1755016122,5,0,378,1.2554985005408525e-05
1755016123,5,0,1279,1.3775017578154802e-05
1755016124,5,0,1116,1.4890043530613184e-05
1755016125,5,0,1296,1.2992008123546839e-05
1755016126,5,0,245,1.126900315284729e-05
1755016127,5,0,2185,1.5443016309291124e-05
1755016128,5,0,207,1.2523960322141647e-05
1755016129,5,0,4205,1.3080018106848001e-05
1755016130,5,0,1237,1.3738987036049366e-05
1755016131,5,0,1192,1.2534030247479677e-05
1755016132,5,0,1370,1.2275995686650276e-05
1755016133,5,0,108,1.4891964383423328e-05
1755016134,5,0,224,1.1308002285659313e-05
1755016135,5,0,21,1.2383039575070143e-05
1755016136,5,0,3160,1.2492993846535683e-05
1755016037,8,0,640,2.900604158639908e-05
1755016038,8,0,1231,2.3216998670250177e-05
1755016039,8,0,4550,2.2791035007685423e-05
1755016040,8,0,1454,2.1320011001080275e-05
1755016041,8,0,1072,1.8405960872769356e-05
1755016042,8,0,1542,2.2247026208788157e-05
1755016043,8,0,2691,2.1594983991235495e-05
1755016044,8,0,574,2.013496123254299e-05
1755016045,8,0,1361,1.881999196484685e-05
1755016046,8,0,2740,1.8297985661774874e-05
1755016047,8,0,1437,1.8759979866445065e-05
1755016048,8,0,145,1.8984021153301e-05
1755016049,8,0,257,1.7156009562313557e-05
1755016050,8,0,54,1.7459969967603683e-05
1755016051,8,0,335,1.805298961699009e-05
1755016052,8,0,3051,1.8690014258027077e-05
1755016053,8,0,1082,1.7968006432056427e-05
1755016054,8,0,2780,2.0781008061021566e-05
1755016055,8,0,1363,2.0483043044805527e-05
1755016056,8,0,301,1.756602432578802e-05
1755016057,8,0,2836,2.0175008103251457e-05
1755016058,8,0,5169,2.122897421941161e-05
1755016059,8,0,222,1.8341990653425455e-05
1755016060,8,0,529,1.8691003788262606e-05
1755016061,8,0,1321,2.0575011149048805e-05
1755016062,8,0,251,1.733197132125497e-05
1755016063,8,0,119,1.8480001017451286e-05
1755016064,8,0,738,5.2593997679650784e-05
1755016065,8,0,243,1.726602204144001e-05
1755016066,8,0,1251,1.7735990695655346e-05
1755016067,8,0,1928,1.9032973796129227e-05
1755016068,8,0,565,1.8067017663270235e-05
1755016069,8,0,3283,3.584497608244419e-05
1755016070,8,0,2432,3.131298581138253e-05
1755016071,8,0,1093,3.008497878909111e-05
1755016072,8,0,285,2.9754010029137135e-05
1755016073,8,0,2388,2.748903352767229e-05
1755016074,8,0,243,2.911803312599659e-05
1755016075,8,0,1542,2.310203853994608e-05
1755016076,8,0,1420,2.062495332211256e-05
1755016077,8,0,1527,1.9077968318015337e-05
1755016078,8,0,600,1.9598985090851784e-05
1755016079,8,0,873,1.8274004105478525e-05
1755016080,8,0,4106,2.2377993445843458e-05
1755016081,8,0,1265,2.032297197729349e-05
1755016082,8,0,816,1.979299122467637e-05
1755016083,8,0,224,1.8463004380464554e-05
1755016084,8,0,533,2.0180013962090015e-05
1755016085,8,0,401,1.995096681639552e-05
1755016086,8,0,551,2.1837011445313692e-05
1755016087,8,0,323,1.9910046830773354e-05
1755016088,8,0,415,1.8435006495565176e-05
1755016089,8,0,1223,1.934898318722844e-05
1755016090,8,0,303,2.5330984499305487e-05
1755016091,8,0,1157,1.8320977687835693e-05
1755016092,8,0,5955,2.0453997422009706e-05
1755016093,8,0,634,1.958903158083558e-05
1755016094,8,0,1454,2.095400122925639e-05
1755016095,8,0,636,1.7768994439393282e-05
1755016096,8,0,3176,2.135202521458268e-05
1755016097,8,0,791,1.9032973796129227e-05
1755016098,8,0,53,1.891300780698657e-05
