n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
4,"[100, 10, 5, 500]",1777902900,100000,3.199919,3.199919e-05,499,"[0, 0, 0, 0]",611,"[0, 9, 3, 12]"
5,"[1, 1000, 20, 2, 20]",1777902900,4000000,1.311037,3.277592e-07,999,"[0, 0, 0, 0, 0]",1038,"[0, 0, 19, 0, 19]"
6,"[50, 100, 5, 5, 5, 1]",1777902900,75000,1.067312,1.423083e-05,99,"[0, 0, 0, 0, 0, 0]",160,"[0, 49, 3, 2, 1, 0]"
3,"[200, 5, 500]",1777902901,7500,0.651591,8.687880e-05,599,"[0, 0, 0]",702,"[0, 4, 3]"
4,"[5, 2, 500, 500]",1777902901,2000000,3.293865,1.646932e-06,499,"[0, 0, 0, 0]",1003,"[0, 0, 5, 4]"
5,"[2, 20, 1, 1000, 1000]",1777902901,100000000,14.951629,1.495163e-07,999,"[0, 0, 0, 0, 0]",2018,"[0, 1, 0, 0, 999]"
6,"[5, 1, 500, 500, 5, 5]",1777902901,37500000,8.196257,2.185668e-07,499,"[0, 0, 0, 0, 0, 0]",1010,"[0, 0, 4, 3, 2, 1]"
3,"[1, 5, 500]",1777902902,7500,0.195469,2.606255e-05,499,"[0, 0, 0]",503,"[0, 0, 4]"
4,"[100, 200, 20, 5]",1777902902,80000,2.507582,3.134478e-05,199,"[0, 0, 0, 0]",321,"[0, 99, 18, 2]"
5,"[50, 2, 1, 5, 200]",1777902902,10000,0.323118,3.231182e-05,199,"[0, 0, 0, 0, 0]",253,"[0, 1, 0, 0, 4]"
6,"[1, 100, 1, 10, 500, 50]",1777902902,150000000,7.924820,5.283213e-08,499,"[0, 0, 0, 0, 0, 0]",656,"[0, 0, 0, 9, 8, 7]"
3,"[200, 1000, 1]",1777902903,3000,0.428421,1.428071e-04,999,"[0, 0, 0]",1198,"[0, 199, 0]"
4,"[20, 50, 500, 200]",1777902903,20000000,11.236563,5.618281e-07,599,"[0, 0, 0, 0]",766,"[0, 9, 8, 7]"
5,"[20, 20, 2, 500, 100]",1777902903,10000000,7.150601,7.150601e-07,499,"[0, 0, 0, 0, 0]",637,"[0, 19, 0, 19, 18]"
6,"[1, 1, 2, 50, 500, 2]",1777902903,600000,0.351590,5.859835e-07,499,"[0, 0, 0, 0, 0, 0]",550,"[0, 0, 0, 1, 0, 1]"
