periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[15, 10, 9]",1755016070,"[0, 3, 3]","[0, 3, 3]",3,29,16.0,5.802,5,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 4), (10, 4), (11, 4), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 4), (22, 4), (23, 4), (24, 2), (25, 2), (26, 2), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016071,"[0, 3, 4]","[0, 3, 4]",4,30,17.0,5.802,4,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 4), (11, 4), (12, 4), (13, 5), (14, 5), (15, 5), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 4), (23, 4), (24, 4), (25, 2), (26, 2), (27, 2), (28, 1), (29, 1), (30, 1)]"
"[15, 10, 9]",1755016072,"[0, 3, 5]","[0, 3, 5]",5,28,16.5,5.188,6,"[(5, 1), (6, 1), (7, 1), (8, 3), (9, 3), (10, 3), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 5), (21, 5), (22, 5), (23, 3), (24, 3), (25, 3), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 9]",1755016073,"[0, 3, 6]","[0, 3, 6]",3,29,16.0,5.802,5,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 4), (10, 4), (11, 4), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 4), (22, 4), (23, 4), (24, 2), (25, 2), (26, 2), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016074,"[0, 3, 7]","[0, 3, 7]",4,30,17.0,5.802,4,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 4), (11, 4), (12, 4), (13, 5), (14, 5), (15, 5), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 4), (23, 4), (24, 4), (25, 2), (26, 2), (27, 2), (28, 1), (29, 1), (30, 1)]"
"[15, 10, 9]",1755016075,"[0, 3, 8]","[0, 3, 8]",5,28,16.5,5.188,6,"[(5, 1), (6, 1), (7, 1), (8, 3), (9, 3), (10, 3), (11, 5), (12, 5), (13, 5), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 5), (21, 5), (22, 5), (23, 3), (24, 3), (25, 3), (26, 1), (27, 1), (28, 1)]"
"[15, 10, 9]",1755016076,"[0, 3, 9]","[0, 3, 9]",3,29,16.0,5.802,5,"[(3, 1), (4, 1), (5, 1), (6, 2), (7, 2), (8, 2), (9, 4), (10, 4), (11, 4), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 5), (19, 5), (20, 5), (21, 4), (22, 4), (23, 4), (24, 2), (25, 2), (26, 2), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016077,"[0, 4, 0]","[0, 4, 0]",6,29,17.5,5.188,5,"[(6, 1), (7, 1), (8, 1), (9, 3), (10, 3), (11, 3), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 6), (21, 5), (22, 5), (23, 5), (24, 3), (25, 3), (26, 3), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016078,"[0, 4, 1]","[0, 4, 1]",4,30,17.0,5.802,4,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 4), (11, 4), (12, 4), (13, 5), (14, 5), (15, 5), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 4), (23, 4), (24, 4), (25, 2), (26, 2), (27, 2), (28, 1), (29, 1), (30, 1)]"
"[15, 10, 9]",1755016079,"[0, 4, 2]","[0, 4, 2]",5,31,18.0,5.802,3,"[(5, 1), (6, 1), (7, 1), (8, 2), (9, 2), (10, 2), (11, 4), (12, 4), (13, 4), (14, 5), (15, 5), (16, 5), (17, 6), (18, 6), (19, 6), (20, 5), (21, 5), (22, 5), (23, 4), (24, 4), (25, 4), (26, 2), (27, 2), (28, 2), (29, 1), (30, 1), (31, 1)]"
"[15, 10, 9]",1755016080,"[0, 4, 3]","[0, 4, 3]",6,29,17.5,5.188,5,"[(6, 1), (7, 1), (8, 1), (9, 3), (10, 3), (11, 3), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 6), (21, 5), (22, 5), (23, 5), (24, 3), (25, 3), (26, 3), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016081,"[0, 4, 4]","[0, 4, 4]",4,30,17.0,5.802,4,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 4), (11, 4), (12, 4), (13, 5), (14, 5), (15, 5), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 4), (23, 4), (24, 4), (25, 2), (26, 2), (27, 2), (28, 1), (29, 1), (30, 1)]"
"[15, 10, 9]",1755016082,"[0, 4, 5]","[0, 4, 5]",5,31,18.0,5.802,3,"[(5, 1), (6, 1), (7, 1), (8, 2), (9, 2), (10, 2), (11, 4), (12, 4), (13, 4), (14, 5), (15, 5), (16, 5), (17, 6), (18, 6), (19, 6), (20, 5), (21, 5), (22, 5), (23, 4), (24, 4), (25, 4), (26, 2), (27, 2), (28, 2), (29, 1), (30, 1), (31, 1)]"
"[15, 10, 9]",1755016083,"[0, 4, 6]","[0, 4, 6]",6,29,17.5,5.188,5,"[(6, 1), (7, 1), (8, 1), (9, 3), (10, 3), (11, 3), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 6), (21, 5), (22, 5), (23, 5), (24, 3), (25, 3), (26, 3), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016084,"[0, 4, 7]","[0, 4, 7]",4,30,17.0,5.802,4,"[(4, 1), (5, 1), (6, 1), (7, 2), (8, 2), (9, 2), (10, 4), (11, 4), (12, 4), (13, 5), (14, 5), (15, 5), (16, 6), (17, 6), (18, 6), (19, 5), (20, 5), (21, 5), (22, 4), (23, 4), (24, 4), (25, 2), (26, 2), (27, 2), (28, 1), (29, 1), (30, 1)]"
"[15, 10, 9]",1755016085,"[0, 4, 8]","[0, 4, 8]",5,31,18.0,5.802,3,"[(5, 1), (6, 1), (7, 1), (8, 2), (9, 2), (10, 2), (11, 4), (12, 4), (13, 4), (14, 5), (15, 5), (16, 5), (17, 6), (18, 6), (19, 6), (20, 5), (21, 5), (22, 5), (23, 4), (24, 4), (25, 4), (26, 2), (27, 2), (28, 2), (29, 1), (30, 1), (31, 1)]"
"[15, 10, 9]",1755016086,"[0, 4, 9]","[0, 4, 9]",6,29,17.5,5.188,5,"[(6, 1), (7, 1), (8, 1), (9, 3), (10, 3), (11, 3), (12, 5), (13, 5), (14, 5), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 6), (21, 5), (22, 5), (23, 5), (24, 3), (25, 3), (26, 3), (27, 1), (28, 1), (29, 1)]"
"[15, 10, 9]",1755016087,"[0, 5, 0]","[0, 5, 0]",0,26,13.0,5.802,8,"[(0, 1), (1, 1), (2, 1), (3, 2), (4, 2), (5, 2), (6, 4), (7, 4), (8, 4), (9, 5), (10, 5), (11, 5), (12, 6), (13, 6), (14, 6), (15, 5), (16, 5), (17, 5), (18, 4), (19, 4), (20, 4), (21, 2), (22, 2), (23, 2), (24, 1), (25, 1), (26, 1)]"
"[15, 10, 9]",1755016088,"[0, 5, 1]","[0, 5, 1]",1,27,14.0,5.802,7,"[(1, 1), (2, 1), (3, 1), (4, 2), (5, 2), (6, 2), (7, 4), (8, 4), (9, 4), (10, 5), (11, 5), (12, 5), (13, 6), (14, 6), (15, 6), (16, 5), (17, 5), (18, 5), (19, 4), (20, 4), (21, 4), (22, 2), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1)]"
