periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[7, 10, 7]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,21,20.586,15.573,3,"[(1, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2), (20, 2), (21, 2)]"
"[7, 10, 8]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,22,22.996,17.237,3,"[(1, 1), (2, 4), (3, 8), (4, 12), (5, 18), (6, 24), (7, 32), (8, 38), (9, 44), (10, 48), (11, 50), (12, 50), (13, 48), (14, 44), (15, 38), (16, 32), (17, 24), (18, 18), (19, 12), (20, 8), (21, 4), (22, 2)]"
"[7, 10, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,23,23.0,17.388,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 42), (6, 56), (7, 70), (8, 84), (9, 96), (10, 104), (11, 108), (12, 108), (13, 104), (14, 96), (15, 84), (16, 70), (17, 56), (18, 42), (19, 30), (20, 20), (21, 12), (22, 6), (23, 2)]"
"[7, 10, 10]",1755016037,"[0, 0, 9]","[0, 0, 9]",9,24,31.071,20.36,3,"[(9, 1), (10, 4), (11, 6), (12, 7), (13, 9), (14, 11), (15, 13), (16, 13), (17, 13), (18, 13), (19, 12), (20, 10), (21, 7), (22, 6), (23, 4), (24, 2)]"
"[8, 3, 3]",1755016037,"[0, 0, 2]","[0, 0, 2]",2,11,12.5,8.887,3,"[(2, 1), (3, 4), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 3), (11, 2)]"
"[8, 3, 4]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,12,11.625,8.944,3,"[(1, 3), (2, 4), (3, 4), (4, 4), (5, 6), (6, 6), (7, 6), (8, 6), (9, 2), (10, 2), (11, 2), (12, 2)]"
"[8, 3, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,13,13.0,10.017,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 24), (5, 28), (6, 30), (7, 30), (8, 28), (9, 24), (10, 18), (11, 12), (12, 6), (13, 2)]"
"[8, 3, 6]",1755016037,"[0, 0, 5]","[0, 0, 5]",3,14,15.375,9.889,3,"[(3, 2), (4, 2), (5, 3), (6, 4), (7, 5), (8, 5), (9, 5), (10, 5), (11, 4), (12, 4), (13, 2), (14, 2)]"
"[8, 3, 7]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,15,15.0,11.504,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 24), (5, 30), (6, 36), (7, 40), (8, 40), (9, 36), (10, 30), (11, 24), (12, 18), (13, 12), (14, 6), (15, 2)]"
"[8, 3, 8]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,16,14.292,11.538,3,"[(1, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2)]"
