n,periods,seed,C,R,R/C,min_latency (LZ-),min_offsets,max_latency (LZ+),max_offsets
4,"[2, 20, 10, 500]",48,400000,280.286862,7.007172e-04,499.000,"[0, 0, 0, 0]",528.000,"[0, 1, 0, 9]"
5,"[50, 200, 10, 500, 10]",48,50000000,77035.354950,1.540707e-03,599.000,"[0, 0, 0, 0, 0]",765.000,"[0, 49, 8, 57, 6]"
6,"[1000, 20, 20, 50, 2, 20]",48,4800000,156544.369676,3.261341e-02,999.000,"[0, 0, 0, 0, 0, 0]",1106.000,"[0, 19, 18, 37, 0, 7]"
7,"[10, 200, 20, 2, 10, 20, 50]",48,560000000,80671.374970,1.440560e-04,199.000,"[0, 0, 0, 0, 0, 0, 0]",305.000,"[0, 9, 8, 1, 8, 17, 6]"
8,"[5, 50, 1, 500, 50, 2, 5, 2]",48,200000000,25477.711762,1.273886e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",607.000,"[0, 4, 0, 3, 2, 1, 2, 0]"
9,"[1, 1000, 20, 1, 20, 200, 1, 2, 50]",48,72000000000,484429.034102,6.728181e-06,999.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1286.000,"[0, 0, 19, 0, 18, 37, 0, 0, 37]"
10,"[50, 5, 1, 10, 5, 2, 500, 5, 2, 2]",48,50000000,47485.868169,9.497174e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",572.000,"[0, 4, 0, 3, 2, 0, 17, 1, 0, 1]"
3,"[200, 20, 200]",49,12000,142.189214,1.184910e-02,199.000,"[0, 0, 0]",417.000,"[0, 19, 18]"
4,"[2, 200, 200, 100]",49,16000000,1282.063356,8.012896e-05,199.000,"[0, 0, 0, 0]",498.000,"[0, 1, 0, 99]"
5,"[1000, 1, 500, 5, 10]",49,125000,9529.043829,7.623235e-02,999.000,"[0, 0, 0, 0, 0]",1511.000,"[0, 0, 499, 3, 2]"
6,"[200, 20, 1, 500, 2, 1000]",49,120000000,408679.344773,3.405661e-03,999.000,"[0, 0, 0, 0, 0, 0]",1717.000,"[0, 19, 0, 18, 1, 518]"
7,"[1000, 2, 2, 1000, 20, 1, 50]",49,28000000,410211.611771,1.465041e-02,999.000,"[0, 0, 0, 0, 0, 0, 0]",2068.000,"[0, 1, 0, 1, 0, 0, 19]"
8,"[100, 2, 1, 500, 5, 10, 2, 20]",49,16000000,40540.624007,2.533789e-03,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",632.000,"[0, 1, 0, 0, 4, 3, 0, 13]"
9,"[1, 5, 10, 100, 500, 5, 5, 1, 10]",49,5625000000,96454.715496,1.714750e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",628.000,"[0, 0, 4, 3, 2, 1, 0, 0, 9]"
10,"[1, 1, 5, 10, 20, 1, 2, 500, 20, 100]",49,20000000000,225613.860688,1.128069e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",650.000,"[0, 0, 0, 4, 3, 0, 0, 3, 2, 21]"
3,"[2, 200, 200]",50,120000,300.288892,2.502407e-03,199.000,"[0, 0, 0]",399.000,"[0, 1, 0]"
4,"[50, 1, 500, 1]",50,2000,187.998875,9.399944e-02,499.000,"[0, 0, 0, 0]",548.000,"[0, 0, 49, 0]"
5,"[200, 1000, 20, 5, 10]",50,5000000,56624.721549,1.132494e-02,999.000,"[0, 0, 0, 0, 0]",1230.000,"[0, 199, 18, 2, 1]"
6,"[10, 50, 500, 10, 100, 2]",50,300000000,78423.957106,2.614132e-04,499.000,"[0, 0, 0, 0, 0, 0]",666.000,"[0, 9, 8, 7, 16, 1]"
7,"[100, 100, 20, 2, 2, 10, 200]",50,112000000,135037.298964,1.205690e-03,199.000,"[0, 0, 0, 0, 0, 0, 0]",427.000,"[0, 99, 18, 1, 0, 9, 28]"
8,"[50, 2, 5, 1, 500, 20, 10, 5]",50,40000000,48670.589239,1.216765e-03,499.000,"[0, 0, 0, 0, 0, 0, 0, 0]",585.000,"[0, 1, 0, 0, 4, 3, 2, 1]"
9,"[50, 500, 50, 5, 2, 1, 1, 10, 1]",50,22500000,28119.812213,1.249769e-03,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",611.000,"[0, 49, 48, 2, 1, 0, 0, 2, 0]"
10,"[1, 1, 2, 500, 20, 20, 1, 2, 20, 2]",50,320000000,8640.539963,2.700169e-05,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",559.000,"[0, 0, 0, 1, 0, 19, 0, 0, 19, 0]"
3,"[50, 1000, 200]",51,600000,4022.449339,6.704082e-03,999.000,"[0, 0, 0]",1247.000,"[0, 49, 48]"
4,"[1000, 5, 500, 20]",51,200000,16708.330776,8.354165e-02,999.000,"[0, 0, 0, 0]",1521.000,"[0, 4, 3, 2]"
5,"[10, 50, 500, 2, 1000]",51,250000000,110774.446883,4.430978e-04,999.000,"[0, 0, 0, 0, 0]",1557.000,"[0, 9, 8, 1, 8]"
6,"[2, 5, 50, 20, 5, 500]",51,75000000,6066.410610,8.088547e-05,499.000,"[0, 0, 0, 0, 0, 0]",576.000,"[0, 0, 9, 8, 2, 31]"
7,"[2, 2, 1000, 10, 50, 5, 500]",51,17500000000,449120.366797,2.566402e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",1562.000,"[0, 1, 0, 9, 8, 2, 61]"
8,"[5, 1, 200, 1, 1, 50, 50, 100]",51,400000000,31719.077713,7.929769e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0]",400.000,"[0, 0, 4, 0, 0, 3, 2, 1]"
9,"[20, 1, 2, 2, 2, 2, 200, 1, 20]",51,576000,542.599866,9.420137e-04,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",241.000,"[0, 0, 1, 0, 1, 0, 3, 0, 2]"
10,"[1, 5, 2, 10, 2, 10, 1, 200, 2, 100]",51,800000000,13507.866504,1.688483e-05,199.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",323.000,"[0, 0, 0, 5, 0, 5, 0, 4, 1, 4]"
3,"[50, 5, 500]",52,7500,328.963378,4.386178e-02,499.000,"[0, 0, 0]",552.000,"[0, 4, 3]"
4,"[2, 20, 20, 2]",52,3200,0.000879,2.746875e-07,19.000,"[0, 0, 0, 0]",40.000,"[0, 1, 0, 1]"
5,"[20, 1, 1, 2, 200]",52,2000,0.128064,6.403200e-05,199.000,"[0, 0, 0, 0, 0]",219.000,"[0, 0, 0, 1, 0]"
6,"[200, 2, 1000, 2, 500, 20]",52,240000000,479003.190568,1.995847e-03,999.000,"[0, 0, 0, 0, 0, 0]",1718.000,"[0, 1, 0, 1, 0, 19]"
7,"[1, 5, 1000, 50, 100, 50, 1]",52,8750000000,213665.155074,2.441887e-05,999.000,"[0, 0, 0, 0, 0, 0, 0]",1200.000,"[0, 0, 4, 3, 52, 1, 0]"
8,"[5, 1000, 200, 5, 1, 1, 10, 2]",52,160000000,31813.847878,1.988365e-04,999.000,"[0, 0, 0, 0, 0, 0, 0, 0]",1216.000,"[0, 4, 3, 2, 0, 0, 6, 1]"
9,"[500, 2, 20, 2, 2, 1, 200, 2, 100]",52,57600000,291367.220246,5.058459e-03,599.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",820.000,"[0, 1, 0, 1, 0, 0, 21, 0, 21]"
10,"[20, 1, 1, 1, 500, 1, 20, 10, 100, 5]",52,500000000,137807.194153,2.756144e-04,499.000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",649.000,"[0, 0, 0, 0, 19, 0, 18, 7, 46, 0]"
3,"[1000, 20, 5]",53,300,210.607690,7.020256e-01,999.000,"[0, 0, 0]",1022.000,"[0, 19, 3]"
4,"[10, 200, 1000, 5]",53,4000000,4151.955689,1.037989e-03,999.000,"[0, 0, 0, 0]",1211.000,"[0, 9, 8, 2]"
5,"[200, 1, 1000, 1000, 1]",53,5000000,57092.567837,1.141851e-02,999.000,"[0, 0, 0, 0, 0]",2197.000,"[0, 0, 199, 198, 0]"
6,"[200, 10, 100, 1000, 5, 1]",53,30000000,184858.404533,6.161947e-03,999.000,"[0, 0, 0, 0, 0, 0]",1310.000,"[0, 9, 8, 107, 1, 0]"
